case_id,isrid_id,ipp_lat,ipp_lon,find_lat,find_lon,category,terrain,region,dist_km_published,dist_km_computed,usable
Arizona115,,35.09778334,-111.6884167,35.18475,-111.6615667,Dementia,Flat,Arizona,5.342399132,9.9737,True
Arizona116,,34.82513332,-111.7874833,34.82195002,-111.7927834,Hiker,Flat,Arizona,0.422955481,0.5995,True
Arizona117,,33.39705,-111.3478667,33.40933332,-111.3171667,Hiker,Mountainous,Arizona,2.147328588,3.1602,True
Arizona118,,33.38884999,-111.36565,33.40120001,-111.3751667,Hiker,Flat,Arizona,0.739198107,1.6329,True
Arizona119,,32.82141666,-111.2021167,32.82466666,-111.2271667,Hiker,Flat,Arizona,1.73001414,2.3685,True
Arizona120,,34.97868334,-111.8964333,34.94683336,-111.8896667,Hiker,Flat,Arizona,2.074335069,3.5948,True
Arizona121,US-AZ0258,31.47053334,-110.1897833,31.52950001,-110.1289833,Mental Retardation,Flat,Arizona,5.838118615,8.7304,True
Arizona122,,33.47801666,-111.4376667,33.41566668,-111.3647833,Hiker,Mountainous,Arizona,5.383249532,9.6847,True
Arizona123,,34.82386665,-111.7751333,34.83166669,-111.743,Hiker,Mountainous,Arizona,2.278606281,3.0586,True
Arizona124,,34.92530003,-111.7341,34.89733334,-111.7411667,Hiker,Mountainous,Arizona,1.875981425,3.1758,True
Arizona125,,34.09278333,-111.4209833,34.10233333,-111.4903333,Hiker,Mountainous,Arizona,4.824726065,6.4734,True
Arizona126,,32.42133334,-110.74,32.41833334,-110.7466667,Despondent,Flat,Arizona,0.473560596,0.7091,True
Arizona127,,34.75533333,-114.2059,34.82199999,-114.1441167,Dementia,Flat,Arizona,6.186688451,9.3159,True
Arizona128,,36.23878333,-112.6892,36.24643334,-112.7000834,Hiker,Flat,Arizona,0.753871986,1.2947,True
Arizona129,,35.33245001,-111.4995333,35.33533335,-111.4548333,ATV,Flat,Arizona,3.08966668,4.0675,True
Arizona130,US-AZ0279,31.33446668,-109.81855,31.41008333,-109.8383333,Hiker,Mountainous,Arizona,5.392022246,8.6154,True
Arizona131,,33.25333333,-111.4766667,33.24333334,-110.4516667,,Flat,Arizona,70.7734003,95.3236,False
